phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_best,argmax,myops_scar,44,44,0.4072231588639148,88.17590403387707,243.66758611843034,39.97727272727273,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_best,argmax,myops_edema,44,44,0.6822385316537958,64.33893148434568,262.129296736083,45.86363636363637,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_best,pathology_aware,myops_scar,44,44,0.4143998951931705,89.54963728997723,246.23369508351158,40.77272727272727,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_best,pathology_aware,myops_edema,44,44,0.6833068630421433,64.33455929285411,262.11659494358804,46.27272727272727,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_final,argmax,myops_scar,44,44,0.4005327862763361,74.29266546039143,240.65289654792034,20.454545454545453,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_final,argmax,myops_edema,44,44,0.6825940943953227,65.32787304825037,261.48705631307394,52.43181818181818,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_final,pathology_aware,myops_scar,44,44,0.4050145207758709,74.44339280071557,240.63643096252818,20.636363636363637,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_final,pathology_aware,myops_edema,44,44,0.6839428140463789,65.28985139032078,261.4668919075445,52.93181818181818,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_11662,argmax,myops_scar,44,44,0.23993958479855815,119.03886004593629,208.22020793586708,24.15909090909091,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_11662,argmax,myops_edema,44,44,0.6801497163805248,57.35620632980957,225.2108951073123,45.25,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_11662,pathology_aware,myops_scar,44,44,0.25501103762392696,118.79169463459817,207.43764861257773,25.386363636363637,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_11662,pathology_aware,myops_edema,44,44,0.6816763157154382,57.72147680520322,224.9793901068689,54.25,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_13328,argmax,myops_scar,44,44,0.2536504976257237,116.0304584119481,213.51420510593783,27.59090909090909,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_13328,argmax,myops_edema,44,44,0.6792293626810166,51.202679030180825,180.71315091071733,38.20454545454545,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_13328,pathology_aware,myops_scar,44,44,0.26919255858250646,116.11005232025377,212.6648107123831,27.636363636363637,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_13328,pathology_aware,myops_edema,44,44,0.6813014274964849,51.49356751346791,180.48437451424724,44.0,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_14994,argmax,myops_scar,44,44,0.25364755344891826,100.80463860384415,215.10001045341474,17.704545454545453,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_14994,argmax,myops_edema,44,44,0.6843053569527834,50.66280540892532,186.18747663032607,31.954545454545453,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_14994,pathology_aware,myops_scar,44,44,0.2732493943695934,101.78070485142044,219.49394209417662,18.272727272727273,RUNTIME_METRICS
