case_id,center,class_id,component_count,dice,formal_variant,gt_empty,hd,hd95,invalid_label_values,metric_name,modality_group,pred_empty,pred_gt_volume_ratio,remote_fp_count,script_alias,small_fp_count,source_path,t2_present,variant
Case1053,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1053,CenterA,5,16,0.4017467248908297,anchored_srr_v25_full,False,63.287198794463954,49.26613151371694,,myops_scar,LGE-only,False,0.7431018078020932,0,srr_propref_shared_dual_dict,7,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1053,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1053,CenterA,5,22,0.32511356262167423,anchored_srr_v25_full,False,89.77239013889516,51.068928476646335,,myops_scar,LGE-only,False,1.9324452901998097,6,srr_propref_shared_dual_dict,17,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1062,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1062,CenterA,5,10,0.49063618837785733,anchored_srr_v25_full,False,59.027113021288876,20.0440477329261,,myops_scar,LGE-only,False,2.073212018620398,1,srr_propref_shared_dual_dict,6,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1062,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1062,CenterA,5,25,0.38460393829671147,anchored_srr_v25_full,False,63.64500711565231,40.21987686701935,,myops_scar,LGE-only,False,3.2659754549301736,5,srr_propref_shared_dual_dict,19,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1070,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1070,CenterA,5,8,0.4892300074275811,anchored_srr_v25_full,False,121.70558738200971,34.24835752568647,,myops_scar,LGE-only,False,2.2221779018747507,1,srr_propref_shared_dual_dict,6,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1070,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1070,CenterA,5,20,0.413224743067675,anchored_srr_v25_full,False,139.85461200832813,38.56731043702656,,myops_scar,LGE-only,False,3.114080574391703,12,srr_propref_shared_dual_dict,15,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1073,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1073,CenterA,5,5,0.42668586513078954,anchored_srr_v25_full,False,170.51665401340196,12.52920177666712,,myops_scar,LGE-only,False,0.8949522510231923,1,srr_propref_shared_dual_dict,3,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1073,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
