lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m2_i_mmseg_care,3,2000,Case3030,COMPLETED,cuda,1.517,False
m2_i_mmseg_care,3,2000,Case3031,COMPLETED,cuda,1.343,False
m2_i_mmseg_care,3,2000,Case3039,COMPLETED,cuda,1.515,False
m2_i_mmseg_care,3,2000,Case3040,COMPLETED,cuda,1.639,False
m2_i_mmseg_care,3,2500,Case2016,COMPLETED,cuda,1.703,False
m2_i_mmseg_care,3,2500,Case2023,COMPLETED,cuda,1.251,False
m2_i_mmseg_care,3,2500,Case2025,COMPLETED,cuda,1.5,False
m2_i_mmseg_care,3,2500,Case2030,COMPLETED,cuda,1.071,False
m2_i_mmseg_care,3,2500,Case2031,COMPLETED,cuda,1.278,False
m2_i_mmseg_care,3,2500,Case3004,COMPLETED,cuda,1.527,False
m2_i_mmseg_care,3,2500,Case3006,COMPLETED,cuda,1.433,False
m2_i_mmseg_care,3,2500,Case3011,COMPLETED,cuda,1.343,False
m2_i_mmseg_care,3,2500,Case3028,COMPLETED,cuda,1.664,False
m2_i_mmseg_care,3,2500,Case3030,COMPLETED,cuda,1.464,False
m2_i_mmseg_care,3,2500,Case3031,COMPLETED,cuda,1.413,False
m2_i_mmseg_care,3,2500,Case3039,COMPLETED,cuda,1.523,False
m2_i_mmseg_care,3,2500,Case3040,COMPLETED,cuda,1.612,False
m2_i_mmseg_care,3,3000,Case2016,COMPLETED,cuda,1.706,False
m2_i_mmseg_care,3,3000,Case2023,COMPLETED,cuda,1.248,False
m2_i_mmseg_care,3,3000,Case2025,COMPLETED,cuda,1.508,False
m2_i_mmseg_care,3,3000,Case2030,COMPLETED,cuda,1.07,False
m2_i_mmseg_care,3,3000,Case2031,COMPLETED,cuda,1.281,False
m2_i_mmseg_care,3,3000,Case3004,COMPLETED,cuda,1.51,False
m2_i_mmseg_care,3,3000,Case3006,COMPLETED,cuda,1.431,False
m2_i_mmseg_care,3,3000,Case3011,COMPLETED,cuda,1.333,False
m2_i_mmseg_care,3,3000,Case3028,COMPLETED,cuda,1.676,False
m2_i_mmseg_care,3,3000,Case3030,COMPLETED,cuda,1.473,False
m2_i_mmseg_care,3,3000,Case3031,COMPLETED,cuda,1.398,False
m2_i_mmseg_care,3,3000,Case3039,COMPLETED,cuda,1.519,False
m2_i_mmseg_care,3,3000,Case3040,COMPLETED,cuda,1.626,False
m2_i_mmseg_care,3,3500,Case2016,COMPLETED,cuda,1.689,False
m2_i_mmseg_care,3,3500,Case2023,COMPLETED,cuda,1.251,False
m2_i_mmseg_care,3,3500,Case2025,COMPLETED,cuda,1.493,False
m2_i_mmseg_care,3,3500,Case2030,COMPLETED,cuda,1.074,False
m2_i_mmseg_care,3,3500,Case2031,COMPLETED,cuda,1.225,False
m2_i_mmseg_care,3,3500,Case3004,COMPLETED,cuda,1.563,False
m2_i_mmseg_care,3,3500,Case3006,COMPLETED,cuda,1.436,False
m2_i_mmseg_care,3,3500,Case3011,COMPLETED,cuda,1.333,False
m2_i_mmseg_care,3,3500,Case3028,COMPLETED,cuda,1.669,False
m2_i_mmseg_care,3,3500,Case3030,COMPLETED,cuda,1.467,False
m2_i_mmseg_care,3,3500,Case3031,COMPLETED,cuda,1.396,False
m2_i_mmseg_care,3,3500,Case3039,COMPLETED,cuda,1.525,False
m2_i_mmseg_care,3,3500,Case3040,COMPLETED,cuda,1.628,False
m2_i_mmseg_care,3,4000,Case2016,COMPLETED,cuda,1.671,False
m2_i_mmseg_care,3,4000,Case2023,COMPLETED,cuda,1.257,False
m2_i_mmseg_care,3,4000,Case2025,COMPLETED,cuda,1.494,False
m2_i_mmseg_care,3,4000,Case2030,COMPLETED,cuda,1.07,False
m2_i_mmseg_care,3,4000,Case2031,COMPLETED,cuda,1.22,False
m2_i_mmseg_care,3,4000,Case3004,COMPLETED,cuda,1.562,False
m2_i_mmseg_care,3,4000,Case3006,COMPLETED,cuda,1.424,False
m2_i_mmseg_care,3,4000,Case3011,COMPLETED,cuda,1.327,False
m2_i_mmseg_care,3,4000,Case3028,COMPLETED,cuda,1.656,False
m2_i_mmseg_care,3,4000,Case3030,COMPLETED,cuda,1.452,False
m2_i_mmseg_care,3,4000,Case3031,COMPLETED,cuda,1.396,False
m2_i_mmseg_care,3,4000,Case3039,COMPLETED,cuda,1.516,False
m2_i_mmseg_care,3,4000,Case3040,COMPLETED,cuda,1.578,False
m2_i_mmseg_care,3,4500,Case2016,COMPLETED,cuda,1.733,False
m2_i_mmseg_care,3,4500,Case2023,COMPLETED,cuda,1.244,False
m2_i_mmseg_care,3,4500,Case2025,COMPLETED,cuda,1.494,False
m2_i_mmseg_care,3,4500,Case2030,COMPLETED,cuda,1.068,False
m2_i_mmseg_care,3,4500,Case2031,COMPLETED,cuda,1.228,False
m2_i_mmseg_care,3,4500,Case3004,COMPLETED,cuda,1.553,False
m2_i_mmseg_care,3,4500,Case3006,COMPLETED,cuda,1.425,False
m2_i_mmseg_care,3,4500,Case3011,COMPLETED,cuda,1.344,False
m2_i_mmseg_care,3,4500,Case3028,COMPLETED,cuda,1.667,False
m2_i_mmseg_care,3,4500,Case3030,COMPLETED,cuda,1.457,False
m2_i_mmseg_care,3,4500,Case3031,COMPLETED,cuda,1.393,False
m2_i_mmseg_care,3,4500,Case3039,COMPLETED,cuda,1.522,False
m2_i_mmseg_care,3,4500,Case3040,COMPLETED,cuda,1.586,False
m2_i_mmseg_care,3,5000,Case2016,COMPLETED,cuda,1.722,False
m2_i_mmseg_care,3,5000,Case2023,COMPLETED,cuda,1.252,False
m2_i_mmseg_care,3,5000,Case2025,COMPLETED,cuda,1.506,False
m2_i_mmseg_care,3,5000,Case2030,COMPLETED,cuda,1.07,False
m2_i_mmseg_care,3,5000,Case2031,COMPLETED,cuda,1.222,False
m2_i_mmseg_care,3,5000,Case3004,COMPLETED,cuda,1.556,False
m2_i_mmseg_care,3,5000,Case3006,COMPLETED,cuda,1.427,False
m2_i_mmseg_care,3,5000,Case3011,COMPLETED,cuda,1.278,False
m2_i_mmseg_care,3,5000,Case3028,COMPLETED,cuda,1.705,False
m2_i_mmseg_care,3,5000,Case3030,COMPLETED,cuda,1.467,False
m2_i_mmseg_care,3,5000,Case3031,COMPLETED,cuda,1.396,False
m2_i_mmseg_care,3,5000,Case3039,COMPLETED,cuda,1.512,False
m2_i_mmseg_care,3,5000,Case3040,COMPLETED,cuda,1.593,False
m2_i_mmseg_care,3,5500,Case2016,COMPLETED,cuda,1.726,False
m2_i_mmseg_care,3,5500,Case2023,COMPLETED,cuda,1.244,False
m2_i_mmseg_care,3,5500,Case2025,COMPLETED,cuda,1.507,False
m2_i_mmseg_care,3,5500,Case2030,COMPLETED,cuda,1.079,False
m2_i_mmseg_care,3,5500,Case2031,COMPLETED,cuda,1.233,False
m2_i_mmseg_care,3,5500,Case3004,COMPLETED,cuda,1.564,False
m2_i_mmseg_care,3,5500,Case3006,COMPLETED,cuda,1.433,False
m2_i_mmseg_care,3,5500,Case3011,COMPLETED,cuda,1.286,False
m2_i_mmseg_care,3,5500,Case3028,COMPLETED,cuda,1.704,False
m2_i_mmseg_care,3,5500,Case3030,COMPLETED,cuda,1.465,False
m2_i_mmseg_care,3,5500,Case3031,COMPLETED,cuda,1.393,False
m2_i_mmseg_care,3,5500,Case3039,COMPLETED,cuda,1.522,False
m2_i_mmseg_care,3,5500,Case3040,COMPLETED,cuda,1.579,False
m2_i_mmseg_care,3,6000,Case2016,COMPLETED,cuda,1.731,False
m2_i_mmseg_care,3,6000,Case2023,COMPLETED,cuda,1.239,False
m2_i_mmseg_care,3,6000,Case2025,COMPLETED,cuda,1.465,False
m2_i_mmseg_care,3,6000,Case2030,COMPLETED,cuda,1.124,False
m2_i_mmseg_care,3,6000,Case2031,COMPLETED,cuda,1.227,False
m2_i_mmseg_care,3,6000,Case3004,COMPLETED,cuda,1.552,False
m2_i_mmseg_care,3,6000,Case3006,COMPLETED,cuda,1.422,False
m2_i_mmseg_care,3,6000,Case3011,COMPLETED,cuda,1.287,False
m2_i_mmseg_care,3,6000,Case3028,COMPLETED,cuda,1.711,False
m2_i_mmseg_care,3,6000,Case3030,COMPLETED,cuda,1.465,False
m2_i_mmseg_care,3,6000,Case3031,COMPLETED,cuda,1.397,False
m2_i_mmseg_care,3,6000,Case3039,COMPLETED,cuda,1.502,False
m2_i_mmseg_care,3,6000,Case3040,COMPLETED,cuda,1.565,False
