feature_source,task_id,probe_model,train_rows,eval_rows,train_cases,eval_cases,status,AUROC,AUPRC,balanced_accuracy,sensitivity,specificity,ECE,fold_id,pathology,evidence_source
CENTER_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4358,1098,64,16,PASS,0.5061475409836066,0.4475265449375805,0.5061475409836065,0.45491803278688525,0.5573770491803278,0.05560127333585885,2,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4364,1092,64,16,PASS,0.4819082585040032,0.43198898548243525,0.4819082585040032,0.3991683991683992,0.5646481178396072,0.05908421080989579,3,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4374,1082,64,16,PASS,0.5102778703086831,0.44327060944408647,0.5102778703086831,0.45147679324894513,0.569078947368421,0.06192304575165242,4,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4800,1191,64,16,PASS,0.5044596767369045,0.4934358439396223,0.5044596767369045,0.4478632478632479,0.5610561056105611,0.0088406328790544,0,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4794,1197,64,16,PASS,0.5063954364979645,0.49697822327861685,0.5063954364979645,0.4500846023688663,0.5627062706270627,0.006288425552593069,1,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4785,1206,64,16,PASS,0.49932610848278136,0.4938593075395151,0.49932610848278136,0.4412751677852349,0.5573770491803278,0.005821225453545409,2,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4787,1204,64,16,PASS,0.5022743331566861,0.49283722159307974,0.5022743331566861,0.4391891891891892,0.565359477124183,0.008268310926351607,3,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4798,1193,64,16,PASS,0.5059069950517319,0.4933535396813669,0.5059069950517319,0.4427350427350427,0.569078947368421,0.009609575024625672,4,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4580,1167,64,16,PASS,0.5006706553008242,0.4810551539217298,0.5006706553008242,0.44028520499108736,0.5610561056105611,0.019149677988487435,0,pure_edema,v4_patient_level_refold
CENTER_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4607,1140,64,16,PASS,0.5163718619052916,0.47688786354877705,0.5163718619052916,0.4700374531835206,0.5627062706270627,0.03169434071416766,1,pure_edema,v4_patient_level_refold
