case_id,center,metric_name,model_id,dice,pred_voxels,gt_voxels,pred_components,gt_components,empty_gt,empty_pred,model_disagreement_dice
Case8003,CenterH,lesion_union,nnunet_oof,0.7172976649285876,2045,2366,3,1,0,0,0.7938519057015266
Case8003,CenterH,lesion_union,mosaic_clean_oof,0.23310690025026815,17213,2366,1,1,0,0,0.7938519057015266
Case8011,CenterH,scar,nnunet_oof,0.22406639004149378,135,347,3,4,0,0,0.7586206896551724
Case8011,CenterH,scar,mosaic_clean_oof,0.2871452420701169,851,347,1,4,0,0,0.7586206896551724
Case8011,CenterH,lesion_union,nnunet_oof,0.22406639004149378,135,347,3,4,0,0,0.9608283833681168
Case8011,CenterH,lesion_union,mosaic_clean_oof,0.07731718677224034,6094,347,2,4,0,0,0.9608283833681168
Case8015,CenterH,scar,nnunet_oof,0.46925795053003533,1096,1734,3,1,0,0,0.4241452991452992
Case8015,CenterH,scar,mosaic_clean_oof,0.38645418326693226,776,1734,1,1,0,0,0.4241452991452992
Case8015,CenterH,lesion_union,nnunet_oof,0.46925795053003533,1096,1734,3,1,0,0,0.8349446979658133
Case8015,CenterH,lesion_union,mosaic_clean_oof,0.22982236308690204,11833,1734,1,1,0,0,0.8349446979658133
Case8019,CenterH,scar,nnunet_oof,0.6588021778584392,665,437,1,1,0,0,0.40160642570281124
Case8019,CenterH,scar,mosaic_clean_oof,0.627172195892575,829,437,1,1,0,0,0.40160642570281124
Case8019,CenterH,lesion_union,nnunet_oof,0.6588021778584392,665,437,1,1,0,0,0.8340342024109897
Case8019,CenterH,lesion_union,mosaic_clean_oof,0.12337098175499565,6469,437,1,1,0,0,0.8340342024109897
Case8021,CenterH,scar,nnunet_oof,0.0,0,60,0,1,0,1,1.0
Case8021,CenterH,scar,mosaic_clean_oof,0.0,269,60,1,1,0,0,1.0
Case8021,CenterH,lesion_union,nnunet_oof,0.0,0,60,0,1,0,1,1.0
Case8021,CenterH,lesion_union,mosaic_clean_oof,0.020572604148808505,5773,60,1,1,0,0,1.0
Case8022,CenterH,scar,nnunet_oof,0.6748560460652591,1231,1374,2,1,0,0,0.25928497049635546
Case8022,CenterH,scar,mosaic_clean_oof,0.7003968253968254,1650,1374,1,1,0,0,0.25928497049635546
Case8022,CenterH,lesion_union,nnunet_oof,0.6748560460652591,1231,1374,2,1,0,0,0.7875737591114196
Case8022,CenterH,lesion_union,mosaic_clean_oof,0.22525070712265363,10293,1374,1,1,0,0,0.7875737591114196
Case8023,CenterH,scar,nnunet_oof,0.45514445007602633,1162,811,1,1,0,0,0.6265211917750735
Case8023,CenterH,scar,mosaic_clean_oof,0.4704724409448819,1221,811,1,1,0,0,0.6265211917750735
Case8023,CenterH,lesion_union,nnunet_oof,0.45514445007602633,1162,811,1,1,0,0,0.684577587573308
Case8023,CenterH,lesion_union,mosaic_clean_oof,0.25847599865726756,5147,811,1,1,0,0,0.684577587573308
Case1001,CenterA,scar,nnunet_oof,0.5654237288135593,702,773,9,2,0,0,0.9923809523809524
Case1001,CenterA,scar,mosaic_clean_oof,0.008072027320707855,2448,773,1,2,0,0,0.9923809523809524
Case1001,CenterA,lesion_union,nnunet_oof,0.5654237288135593,702,773,9,2,0,0,0.9923809523809524
Case1001,CenterA,lesion_union,mosaic_clean_oof,0.008072027320707855,2448,773,1,2,0,0,0.9923809523809524
Case1003,CenterA,scar,nnunet_oof,0.4626398210290828,832,1403,5,1,0,0,0.9881598421312284
