variant,checkpoint_name,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,lesion_wise_recall,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,outside_myocardium_fp_ratio,proposal_gate_mean,proposal_gate_p95,pos_similarity_mean,neg_similarity_mean,memory_negative_similarity_mean
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.2,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.3,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.4,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.5,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.6,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.7,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.8,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1009,CenterA,LGE-only,False,4,myops_edema,0.9,,,,0,0,0,0,0,,2.0611543583015646e-09,2.061153470123145e-09,0.818681538105011,0.823223888874054,0.823223888874054
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.05,0.8121272365805169,0.19187411930483794,0.3333333333333333,8516,2012,54,49,25,0.37153593236261157,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.1,0.6814115308151093,0.4052616021282885,0.3333333333333333,3383,2012,4,3,0,0.47886491279929055,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.2,0.602882703777336,0.44909292854498334,0.3333333333333333,2701,2012,2,1,0,0.46427249166975193,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.3,0.55168986083499,0.46954314720812185,0.3333333333333333,2364,2012,2,1,0,0.4530456852791878,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.4,0.5149105367793241,0.47830101569713757,0.3333333333333333,2166,2012,2,1,0,0.4450600184672207,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.5,0.49403578528827036,0.4891732283464567,0.3333333333333333,2032,2012,7,4,0,0.43503937007874016,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.6,0.4801192842942346,0.4936126724578436,0.3333333333333333,1957,2012,7,4,0,0.4317833418497701,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.7,0.4746520874751491,0.49636174636174635,0.3333333333333333,1924,2012,7,4,0,0.4313929313929314,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.8,0.470675944333996,0.4955520669806384,0.3333333333333333,1911,2012,7,4,0,0.43223443223443225,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,5,myops_scar,0.9,0.470675944333996,0.4955520669806384,0.3333333333333333,1911,2012,7,4,0,0.43223443223443225,0.00560024194419384,0.01598412739112972,0.6894261240959167,0.776001513004303,0.7733843922615051
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.05,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.1,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.2,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.3,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.4,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.5,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.6,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.7,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.8,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1010,CenterA,LGE-only,False,4,myops_edema,0.9,,,,0,0,0,0,0,,2.061155468524589e-09,2.061153470123145e-09,0.8268176913261414,0.828325092792511,0.828325092792511
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.05,0.7440543601359003,0.20589157004073957,0.6666666666666666,6382,1766,85,77,30,0.39454716389846445,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.1,0.6693091732729332,0.5474756831866605,0.6666666666666666,2159,1766,20,16,0,0.1329319129226494,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.2,0.6070215175537939,0.6005602240896358,0.6666666666666666,1785,1766,3,0,0,0.12212885154061624,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.3,0.5673839184597962,0.6147239263803681,0.6666666666666666,1630,1766,4,2,0,0.11595092024539877,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.4,0.5385050962627407,0.6211626387981711,0.5,1531,1766,4,2,0,0.11495754408883083,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.5,0.5249150622876557,0.6289009497964722,0.4166666666666667,1474,1766,4,2,0,0.11533242876526459,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1021,CenterA,LGE-only,False,5,myops_scar,0.6,0.5192525481313703,0.6315426997245179,0.4166666666666667,1452,1766,4,2,0,0.11570247933884298,0.004996607545763254,0.018440347351133816,0.6837897896766663,0.7699294090270996,0.7677373886108398
