checkpoint,class_id,component_count_mean,decode_mode,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,pred_gt_volume_ratio_mean,remote_fp_mean,variant
best,4,54.714285714285715,threshold_sweep_mixed_t0.30,0.32930992039988766,0.0,CenterB,,,myops_edema,7,1.990640384032187,36.714285714285715,proposal_pos_neg_basic
best,4,101.44444444444444,threshold_sweep_mixed_t0.30,0.06102327421096718,0.0,CenterC,,,myops_edema,9,2.679182223540972,81.0,proposal_pos_neg_basic
best,4,36.291666666666664,threshold_sweep_mixed_t0.30,0.125,0.125,LGE-only,,,myops_edema,24,,36.291666666666664,proposal_pos_neg_basic
best,4,34.42857142857143,threshold_sweep_mixed_t0.30,0.10714285714285714,0.10714285714285714,no_T2_empty_GT,,,myops_edema,28,,34.42857142857143,proposal_pos_neg_basic
best,5,118.13636363636364,threshold_sweep_mixed_t0.30,0.10577546123270071,0.0,all_cases,,,myops_scar,44,6.64328986662666,93.56818181818181,proposal_pos_neg_basic
best,5,120.04651162790698,threshold_sweep_mixed_t0.30,0.10823535567997282,0.0,gt_positive_only,,,myops_scar,43,6.64328986662666,94.90697674418605,proposal_pos_neg_basic
best,5,35.125,threshold_sweep_mixed_t0.30,0.1585405242433623,0.0,t2_present,,,myops_scar,16,1.0273184865820815,27.125,proposal_pos_neg_basic
best,5,35.125,threshold_sweep_mixed_t0.30,0.1585405242433623,0.0,complete_modality,,,myops_scar,16,1.0273184865820815,27.125,proposal_pos_neg_basic
best,5,23.285714285714285,threshold_sweep_mixed_t0.30,0.19945538075714778,0.0,CenterB,,,myops_scar,7,1.3467219595890565,14.0,proposal_pos_neg_basic
best,5,44.333333333333336,threshold_sweep_mixed_t0.30,0.1267178580659736,0.0,CenterC,,,myops_scar,9,0.7788935631322125,37.333333333333336,proposal_pos_neg_basic
best,5,177.875,threshold_sweep_mixed_t0.30,0.07101606404796636,0.0,LGE-only,,,myops_scar,24,11.084030723812619,143.16666666666666,proposal_pos_neg_basic
best,5,36.0,threshold_sweep_mixed_t0.30,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,36.0,proposal_pos_neg_basic
best,4,47.0,threshold_sweep_mixed_t0.40,0.15576344917647153,0.09090909090909091,all_cases,,,myops_edema,44,2.2299248366726507,40.56818181818182,proposal_pos_neg_basic
best,4,76.6875,threshold_sweep_mixed_t0.40,0.1783494852352967,0.0,gt_positive_only,,,myops_edema,16,2.2299248366726507,59.0,proposal_pos_neg_basic
best,4,76.6875,threshold_sweep_mixed_t0.40,0.1783494852352967,0.0,t2_present,,,myops_edema,16,2.2299248366726507,59.0,proposal_pos_neg_basic
best,4,76.6875,threshold_sweep_mixed_t0.40,0.1783494852352967,0.0,complete_modality,,,myops_edema,16,2.2299248366726507,59.0,proposal_pos_neg_basic
best,4,51.42857142857143,threshold_sweep_mixed_t0.40,0.33087334799559953,0.0,CenterB,,,myops_edema,7,1.897174309388544,33.714285714285715,proposal_pos_neg_basic
best,4,96.33333333333333,threshold_sweep_mixed_t0.40,0.059719814199505596,0.0,CenterC,,,myops_edema,9,2.488730802338067,78.66666666666667,proposal_pos_neg_basic
best,4,31.5,threshold_sweep_mixed_t0.40,0.16666666666666666,0.16666666666666666,LGE-only,,,myops_edema,24,,31.5,proposal_pos_neg_basic
best,4,30.035714285714285,threshold_sweep_mixed_t0.40,0.14285714285714285,0.14285714285714285,no_T2_empty_GT,,,myops_edema,28,,30.035714285714285,proposal_pos_neg_basic
best,5,112.47727272727273,threshold_sweep_mixed_t0.40,0.10514676515849787,0.0,all_cases,,,myops_scar,44,5.955130617003483,89.04545454545455,proposal_pos_neg_basic
best,5,114.25581395348837,threshold_sweep_mixed_t0.40,0.10759203876683504,0.0,gt_positive_only,,,myops_scar,43,5.955130617003483,90.27906976744185,proposal_pos_neg_basic
best,5,34.6875,threshold_sweep_mixed_t0.40,0.15664783432607712,0.0,t2_present,,,myops_scar,16,0.9693288296530016,26.6875,proposal_pos_neg_basic
best,5,34.6875,threshold_sweep_mixed_t0.40,0.15664783432607712,0.0,complete_modality,,,myops_scar,16,0.9693288296530016,26.6875,proposal_pos_neg_basic
best,5,22.857142857142858,threshold_sweep_mixed_t0.40,0.1980024957223094,0.0,CenterB,,,myops_scar,7,1.2695139882520816,13.714285714285714,proposal_pos_neg_basic
best,5,43.888888888888886,threshold_sweep_mixed_t0.40,0.1244830976845631,0.0,CenterC,,,myops_scar,9,0.7358514840759394,36.77777777777778,proposal_pos_neg_basic
best,5,169.29166666666666,threshold_sweep_mixed_t0.40,0.07190923418542983,0.0,LGE-only,,,myops_scar,24,9.902611966492286,136.125,proposal_pos_neg_basic
best,5,36.0,threshold_sweep_mixed_t0.40,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,36.0,proposal_pos_neg_basic
best,4,43.04545454545455,threshold_sweep_mixed_t0.50,0.15578034018027206,0.09090909090909091,all_cases,,,myops_edema,44,2.0911259406423257,37.0,proposal_pos_neg_basic
best,4,72.5,threshold_sweep_mixed_t0.50,0.17839593549574817,0.0,gt_positive_only,,,myops_edema,16,2.0911259406423257,55.875,proposal_pos_neg_basic
best,4,72.5,threshold_sweep_mixed_t0.50,0.17839593549574817,0.0,t2_present,,,myops_edema,16,2.0911259406423257,55.875,proposal_pos_neg_basic
best,4,72.5,threshold_sweep_mixed_t0.50,0.17839593549574817,0.0,complete_modality,,,myops_edema,16,2.0911259406423257,55.875,proposal_pos_neg_basic
best,4,48.857142857142854,threshold_sweep_mixed_t0.50,0.3323116277933939,0.0,CenterB,,,myops_edema,7,1.8065125425502393,31.857142857142858,proposal_pos_neg_basic
best,4,90.88888888888889,threshold_sweep_mixed_t0.50,0.058683730375357124,0.0,CenterC,,,myops_edema,9,2.312491916936171,74.55555555555556,proposal_pos_neg_basic
best,4,27.5,threshold_sweep_mixed_t0.50,0.16666666666666666,0.16666666666666666,LGE-only,,,myops_edema,24,,27.5,proposal_pos_neg_basic
