lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m1_myopsnet_l_care,3,5000,Case2025,COMPLETED,cuda,1.433,False
m1_myopsnet_l_care,3,5000,Case2030,COMPLETED,cuda,1.149,False
m1_myopsnet_l_care,3,5000,Case2031,COMPLETED,cuda,0.951,False
m1_myopsnet_l_care,3,5000,Case3004,COMPLETED,cuda,1.24,False
m1_myopsnet_l_care,3,5000,Case3006,COMPLETED,cuda,1.377,False
m1_myopsnet_l_care,3,5000,Case3011,COMPLETED,cuda,1.229,False
m1_myopsnet_l_care,3,5000,Case3028,COMPLETED,cuda,1.579,False
m1_myopsnet_l_care,3,5000,Case3030,COMPLETED,cuda,1.175,False
m1_myopsnet_l_care,3,5000,Case3031,COMPLETED,cuda,1.249,False
m1_myopsnet_l_care,3,5000,Case3039,COMPLETED,cuda,1.483,False
m1_myopsnet_l_care,3,5000,Case3040,COMPLETED,cuda,1.485,False
m1_myopsnet_l_care,3,5500,Case2016,COMPLETED,cuda,8.62,False
m1_myopsnet_l_care,3,5500,Case2023,COMPLETED,cuda,1.339,False
m1_myopsnet_l_care,3,5500,Case2025,COMPLETED,cuda,1.499,False
m1_myopsnet_l_care,3,5500,Case2030,COMPLETED,cuda,1.236,False
m1_myopsnet_l_care,3,5500,Case2031,COMPLETED,cuda,1.269,False
m1_myopsnet_l_care,3,5500,Case3004,COMPLETED,cuda,1.287,False
m1_myopsnet_l_care,3,5500,Case3006,COMPLETED,cuda,1.445,False
m1_myopsnet_l_care,3,5500,Case3011,COMPLETED,cuda,1.207,False
m1_myopsnet_l_care,3,5500,Case3028,COMPLETED,cuda,1.562,False
m1_myopsnet_l_care,3,5500,Case3030,COMPLETED,cuda,1.454,False
m1_myopsnet_l_care,3,5500,Case3031,COMPLETED,cuda,1.373,False
m1_myopsnet_l_care,3,5500,Case3039,COMPLETED,cuda,1.498,False
m1_myopsnet_l_care,3,5500,Case3040,COMPLETED,cuda,1.588,False
m1_myopsnet_l_care,3,6000,Case2016,COMPLETED,cuda,7.979,False
m1_myopsnet_l_care,3,6000,Case2023,COMPLETED,cuda,1.311,False
m1_myopsnet_l_care,3,6000,Case2025,COMPLETED,cuda,1.451,False
m1_myopsnet_l_care,3,6000,Case2030,COMPLETED,cuda,1.161,False
m1_myopsnet_l_care,3,6000,Case2031,COMPLETED,cuda,1.048,False
m1_myopsnet_l_care,3,6000,Case3004,COMPLETED,cuda,1.281,False
m1_myopsnet_l_care,3,6000,Case3006,COMPLETED,cuda,1.332,False
m1_myopsnet_l_care,3,6000,Case3011,COMPLETED,cuda,1.181,False
m1_myopsnet_l_care,3,6000,Case3028,COMPLETED,cuda,1.366,False
m1_myopsnet_l_care,3,6000,Case3030,COMPLETED,cuda,1.394,False
m1_myopsnet_l_care,3,6000,Case3031,COMPLETED,cuda,1.338,False
m1_myopsnet_l_care,3,6000,Case3039,COMPLETED,cuda,1.49,False
m1_myopsnet_l_care,3,6000,Case3040,COMPLETED,cuda,1.511,False
