phase,checkpoint_name,checkpoint_sha256,all_44_fresh,hashes_match,calibration_frozen,finite,no_t2_exact_zero,eligible,case_count,scar_positive_nonempty_rate,t2_edema_positive_nonempty_rate,edema_positive_nonempty_rate,scar_median_volume_ratio,edema_median_volume_ratio,subgroups_complete,validators_pass,exclusion_reason,exclusion_reasons
d1_spatial_br2,checkpoint_validation_step_5000,96d11ba23cf175d11d108d17c388d03c0319ce1d2a8051eb509e7dab43e3981d,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_1666,9a9c21d347dff35b93e7271d8dfbd3a986141b50dc275b72d889aff1a4622f79,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_34765,9f064a16751ace4605f61efc3da15ece0422740fe1ac6598cc49daf5b7a1b8ac,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_18000,a0af1bb854f6cdb05f2577bf742d46456f44d9aba9e3625c21d0df50194aeed1,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_25000,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_8750,a54ef6c546299617144fba211023c7de84530b7c5e0a58a1162719f31b4537c1,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_2045,a60339c0aeb5849472b6312738f4473f0f81faa7cc70f22b35548dbb1bbd2f91,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_11662,a93d986e2fa13bbc4542edc34cb83d4cd519b4964fefbeee2edf7a79bfbe8571,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_32720,ab5a417d9957f6ebff55467f7c8ad7062632f160d2e3eb2000e8b1e532443d9d,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_8000,ad9e36f9f16080ebd09b2292b7b0fddc5d25fcbd9d4aa0c1cada3c7ba3b945c2,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_14994,b05e8a2b717f7850eaf8577dd617cacc501fb3b8473dd5748042ef059ce29319,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_6664,b131cfb9645c0bbbdb4e0c50e53832f881e5c3d8db4234fe1bb892d93a111532,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_28630,b18eaf7f812099af1acf0d23427f6a88287b315c81b82ee0684a4436e49ca298,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_best,b23d19d80990fe01b6113c130fc11b5d1fbafa3a19e857f3f1f06804f78c8264,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_15000,b3c18ddea4ee87cdcbe2aca825fb402d33d1edaee300c0c7be1dc6a2cc910818,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_22500,b99de2c6b5c0f08ca83fbcf3b287c1e0fcf6566f4955c441350b14b7b39c67f8,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_15000,ba99182df3415de53101c5f8ea38826bcb0fc6e7f9f3026df5f4de53525f7340,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_18326,c0c85709786a9499c769234de4d3170e4d4f55fe6fec487b5ee0fd8e0ff78a7a,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_7500,c38388080d300431837a31c2e3d53883200864eea79b9b48ede185a4cc25b8bb,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_16000,c44a7356be0f3f92309de8639cc036b39505d1b10b9a57b9c35baaebfcd85e88,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_3750,c523852344c107de27639c69ddd4ea30f5e14a98192926bfcb3c390ca1af7bf0,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
